Shift, OK Time Distributsion, Clear Time Distribution
Shift_0,Lognormal(3.223;1.1316),Invalid Distribution: 1 tasks occurred
Shift_1,Exponential(13.4),Exponential(18.7692)
Shift_2,Lognormal(2.8147;0.84919),Exponential(18.28)
Shift_3,Invalid Distribution: 1 tasks occurred,Triangular(3;3;81)
Shift_03,Lognormal(3.3989;1.133),Triangular(3;3;81)
