Total Flights, Number Long Haul, Number Short Haul
96,22,74
39,15,24
71,54,17
72,12,60
62,0,62
50,0,50
74,0,74
66,21,45
61,0,61
73,13,60
55,17,38
53,0,53
67,0,67
63,2,61
47,15,32
78,26,52
72,0,72
44,12,32
71,28,43
53,23,30
57,34,23
54,23,31
61,0,61
60,32,28
62,0,62
76,7,69
43,0,43
47,0,47
52,36,16
59,34,25
59,45,14
53,53,0
65,40,25
59,53,6
61,55,6
58,47,11
73,25,48
54,17,37
45,0,45

 Exponential(19.5128) 
