Total Flights, Number Long Haul, Number Short Haul, Number Departed
56,0,56,18
65,9,56,27
42,8,34,17
52,23,29,14
43,16,27,11
47,23,24,19
55,0,55,6
43,0,43,18
34,19,15,5
53,23,30,24
39,37,2,10
46,38,8,10
37,22,15,16
41,41,0,9
49,35,14,23
39,8,31,10
53,13,40,17
25,0,25,0
37,0,37,10
50,8,42,22
44,0,44,14
36,11,25,8
51,0,51,0
45,0,45,15
45,5,40,14
32,8,24,1
58,9,49,15
53,0,53,1
51,31,20,8
36,14,22,10
34,0,34,11
48,2,46,11
49,0,49,14
52,10,42,25
34,19,15,8
34,12,22,6
30,0,30,7
